start	end	text
0	14100	Alors, bonjour à tous, tout d'abord, madame la vice-présidente conseil scientifique
14100	21940	représentant le président, vice-président au sévu président adjoint, également j'ai
21940	29580	vu la vice-présidente déléguée à la cohésion territoriale quelque part, voilà, donc la
29580	37620	convie de l'UFR à l'origine de ce projet et moi-même, directeur de cette faculté,
37620	43860	vous souhaitons tout d'abord la bienvenue à ces rencontres de la recherche en lettres,
43860	49060	langues et sciences humaines. Nous sommes très heureux de constater que vous avez répondu
49060	57580	assez nombreux à notre invitation. Alors ces rencontres trouvent leur origine dans la volonté
57580	65140	que nous avons aujourd'hui à l'université de mettre en avant toujours plus la recherche
65140	71140	en lien fort avec notre mission de formation professionnelle. Cette volonté se cristallise
71140	77100	plus particulièrement aujourd'hui à l'université d'Orléans autour des instituts thématiques
77100	83820	pluridisciplinaires qui sont donc des regroupements de laboratoires dont le but est de travailler
83860	92860	à une plus forte imbrication de la recherche et de nos formations disciplinaires. Nos laboratoires
92860	100500	sont une grande richesse, travaillent sur des thématiques très variées et nous pensons
100500	106860	qu'il est dommage de ne pas étendre le cercle des privilégiés qui ont accès à tout ce
106860	116940	savoir. Notre objectif par ces rencontres c'est de proposer à un public élargi ce qui d'habitude
116940	122700	reste plutôt réservé aux personnes directement concernées, c'est-à-dire les chercheurs et les
122700	130260	étudiants de la spécialité. C'est ainsi que nous avons dans cet amphi des enseignants, des enseignants,
130260	136300	chercheurs, des étudiants, des différentes composantes de notre université mais aussi des
136300	143980	personnels administratifs et un public non universitaire. Donc merci encore de notre présence
143980	152180	et sans plus attendre donc je vais laisser la place à nos intervenants. Alors donc peut-être une
152180	163220	petite précision avant, l'après-midi va durer un certain temps puisque nous avons prévu cinq
163460	170900	interventions. Vous avez la possibilité bien sûr d'aller prendre un café, des petits gâteaux pour
170900	178540	vous restaurer et puis vous sortir un petit peu. Voilà entre deux conférences on va dire. On ne
178540	188420	fera pas vraiment de pause complète qui risque de faire dériver le temps. Voilà mais n'hésitez pas
188460	193740	à aller vous servir quelque chose, c'est juste au dessus, vous avez sans doute vu déjà,
193740	205420	vous avez repéré l'endroit. Voilà alors nous allons commencer avec l'Iramat. Voilà le principe
205420	212020	c'est donc que chacun de nos laboratoires va présenter, l'un de ses enseignants chercheurs
212020	218380	va présenter une recherche, quelque chose qu'elle ait à travailler donc il va nous faire
218380	225420	profiter. Alors l'Iramat, premier de nos laboratoires par ordre de présentation, là simplement bien
225420	234460	sûr, institut de recherche sur les archéomatériaux, matériaux anciens, donc un laboratoire qui fait
234460	240060	partie de l'institut thématique, pur et disciplinaire, humanité, culture et société qui est donc
240100	246940	attaché à notre collégium UFR LLSH. Alors quelques mots rapides de présentation de ce
246940	254660	labo avant de laisser la place à notre collègue. L'institut de recherche sur les archéomatériaux
254660	261340	est une unité mixte de recherche du CNRS et de l'université d'Orléans. Donc l'Iramat est
261340	267700	constitué de trois composantes, le centre Ernest Babelon de l'université d'Orléans,
267740	274460	le laboratoire de paléométallurgie et culture de l'université technologique de Belfort-Mont-Béliard
274460	281380	et le centre de recherche sur la physique appliquée à l'archéologie de Bordeaux III.
281380	288140	Lors de sa création en 1980, le centre Ernest Babelon avait une mission de recherche
288140	296580	pluridisciplinaire appliquée à la numismatique. Depuis, les travaux du laboratoire se sont étendus
296580	303220	à d'autres matériaux anciens, notamment aux verres synthétiques et naturels, aux pigments,
303220	311380	ces colorants et aux métaux utilisés dans la construction médiévale. Pour chacun de ces
311380	318060	axes de recherche, la vocation du laboratoire est double, développer des techniques non
318060	326340	destructives de caractérisation des archéomatériaux et appliquer ces méthodes pour répondre à des
326340	336700	problématiques historiques et archéologiques. Bernard Grattus, directeur du centre, va nous
336700	344740	parler de Bernardo Perotto, verrier italien immigré d'Alta, un orléané au cœur de sa ville et de son temps.
