start	end	text
0	9880	Nous voici donc réunis une fois encore, tous ensemble, devant cette cathédrale au cœur
9880	20760	de notre ville d'Orléans, ville fidèle, rassemblée depuis près de six siècles autour
20760	30360	de la figure de Jeanne, elle qui paraissait la faiblesse même, et qui fut plus forte
30360	38120	que les soi-disant puissants, qu'ils fusent d'un ordre ou d'un autre. Ces soi-disant
38120	47320	puissants ne le lui pardonnèrent jamais. Ce fut une belle idée, monsieur le maire,
47320	55960	que de convier ceux qui exerçèrent cette mission de maire d'Orléans, qu'ils fussent
55960	64520	présents physiquement, ou par la force de l'esprit et de la mémoire, à se rassemblèrent
64520	73120	en ce jour, afin qu'Orléans fût, pour une fois, l'invité de nos fêtes, j'y ai souscrit
73120	80880	immédiatement. Je n'ignore ni le contexte, ni les circonstances, mais il y a toujours
80880	89640	un contexte et des circonstances. Il y a eu récemment, et il y aura bientôt, des échéances
89640	96800	importantes pour notre République. Toutes les échéances suscitent des débats, et je
96800	106720	le sais, nous y défendrons chacun nos convictions en toute clarté. Pour passionner vif et parfois
106720	112320	âpre qu'ils puissent être, nous en savons quelque chose, monsieur le maire. Ces débats
112320	119040	ne doivent jamais nous faire oublier ce qui nous rassemble. Comme ne l'ont pas oublié
119040	127080	le 8 mai dernier, deux présidents de la même République française, présents côte à côte
127080	135360	à l'arc de triomphe, ce monument qui magnifie la victoire, la mémoire de tous ces héros
135360	144280	méconnus innombrables dont nous ne savons pas le nom et qui sont morts pour notre liberté. Ce
144320	152360	qui nous rassemble ici, c'est Orléans, traversant les siècles dans la fidélité à des valeurs
152360	161320	inaltérables. Charles Pégui a décrit dans les premiers Alexandrins qu'il écrivit,
161320	173760	Jeanne, prise d'effroi devant la misère, parlant ainsi de ses contemporains. Les voici repartis
173760	182640	sur la route affameuse. Tous nos efforts sont vains, nos charités sont vaines. Tous ceux-là
182640	191920	que j'aimais sont absents de moi-même. Jean Jaurès évoque à son tour cette même misère.
191920	200480	Pour lui, Jeanne d'Arc, c'était l'imble fille des champs qui avait vu les douleurs et les angoisses
200480	207080	des paysans qui l'entouraient, mais pour qui ces détresses même n'étaient que l'exemple prochain
207080	215560	d'une douleur plus vaste. La douleur de la royauté dépouillée, de la nation envahie. Je le cite
215560	222560	toujours. Elle vivait d'autant mieux avec la grande communauté de la patrie qu'elle pouvait sans
222560	230000	troubles, remplir l'horizon silencieux d'une douleur et d'une espérance qui allaient au-delà.
230000	241160	N'oublions jamais ceci. Jeanne s'est levée pour le droit et contre l'injustice. Son message est un
241160	250320	message de justice. C'est aussi un message de respect, respect dû à tout être humain quel qu'il
250320	259240	soit, d'où qu'il vienne, quelle que soit la couleur de sa peau, qu'il soit ami ou ennemi. C'est ici,
259240	267240	à Orléans, puis à Rouen, qu'André Malraux a proclamé que Jeanne avait donné au monde la seule
267240	276160	figure de victoire qui fût aussi une figure de pitié. En chaque être humain, Jeanne voit toute
276160	286320	l'humanité, l'humanité souffrante, l'humanité bafouée, l'humanité aspirant au bonheur et à la
286320	294200	joie. Ne l'oublions pas, Jeanne se sera battue jusqu'à la dernière heure pour qu'on respecte dans
294200	303880	chaque être humain, chacun, chacune et d'abord les plus faibles, l'humanité. Son étendard est
303880	314240	celui de l'humaine fraternité. Merci à tous. Vive Orléans. Vive la République. Vive la France.
